Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Genome-wide analyses as part of the international FTLD-TDP whole-genome sequencing consortium reveals novel disease risk factors and increases support for immune dysfunction in FTLD.,Pottier C.; Ren Y.; Perkerson RB.; Baker M.; Jenkins GD.; van Blitterswijk M.; DeJesus-Hernandez M.; van Rooij JGJ.; Murray ME.; Christopher E.; McDonnell SK.; Fogarty Z.; Batzler A.; Tian S.; Vicente CT.; Matchett B.; Karydas AM.; Hsiung GR.; Seelaar H.; Mol MO.; Finger EC.; Graff C.; Öijerstedt L.; Neumann M.; Heutink P.; Synofzik M.; Wilke C.; Prudlo J.; Rizzu P.; Simon-Sanchez J.; Edbauer D.; Roeber S.; Diehl-Schmid J.; Evers BM.; King A.; Mesulam MM.; Weintraub S.; Geula C.; Bieniek KF.; Petrucelli L.; Ahern GL.; Reiman EM.; Woodruff BK.; Caselli RJ.; Huey ED.; Farlow MR.; Grafman J.; Mead S.; Grinberg LT.; Spina S.; Grossman M.; Irwin DJ.; Lee EB.; Suh E.; Snowden J.; Mann D.; Ertekin-Taner N.; Uitti RJ.; Wszolek ZK.; Josephs KA.; Parisi JE.; Knopman DS.; Petersen RC.; Hodges JR.; Piguet O.; Geier EG.; Yokoyama JS.; Rissman RA.; Rogaeva E.; Keith J.; Zinman L.; Tartaglia MC.; Cairns NJ.; Cruchaga C.; Ghetti B.; Kofler J.; Lopez OL.; Beach TG.; Arzberger T.; Herms J.; Honig LS.; Vonsattel JP.; Halliday GM.; Kwok JB.; White CL.; Gearing M.; Glass J.; Rollinson S.; Pickering-Brown S.; Rohrer JD.; Trojanowski JQ.; Van Deerlin V.; Bigio EH.; Troakes C.; Al-Sarraj S.; Asmann Y.; Miller BL.; Graff-Radford NR.; Boeve BF.; Seeley WW.; Mackenzie IRA.; van Swieten JC.; Dickson DW.; Biernacka JM.; Rademakers R.,"Frontotemporal lobar degeneration with neuronal inclusions of the TAR DNA-binding protein 43 (FTLD-TDP) represents the most common pathological subtype of FTLD. We established the international FTLD-TDP whole-genome sequencing consortium to thoroughly characterize the known genetic causes of FTLD-TDP and identify novel genetic risk factors. Through the study of 1131 unrelated Caucasian patients, we estimated that C9orf72 repeat expansions and GRN loss-of-function mutations account for 25.5% and 13.9% of FTLD-TDP patients, respectively. Mutations in TBK1 (1.5%) and other known FTLD genes (1.4%) were rare, and the disease in 57.7% of FTLD-TDP patients was unexplained by the known FTLD genes. To unravel the contribution of common genetic factors to the FTLD-TDP etiology in these patients, we conducted a two-stage association study comprising the analysis of whole-genome sequencing data from 517 FTLD-TDP patients and 838 controls, followed by targeted genotyping of the most associated genomic loci in 119 additional FTLD-TDP patients and 1653 controls. We identified three genome-wide significant FTLD-TDP risk loci: one new locus at chromosome 7q36 within the DPP6 gene led by rs118113626 (p value = 4.82e - 08, OR = 2.12), and two known loci: UNC13A, led by rs1297319 (p value = 1.27e - 08, OR = 1.50) and HLA-DQA2 led by rs17219281 (p value = 3.22e - 08, OR = 1.98). While HLA represents a locus previously implicated in clinical FTLD and related neurodegenerative disorders, the association signal in our study is independent from previously reported associations. Through inspection of our whole-genome sequence data for genes with an excess of rare loss-of-function variants in FTLD-TDP patients (n ≥ 3) as compared to controls (n = 0), we further discovered a possible role for genes functioning within the TBK1-related immune pathway (e.g., DHX58, TRIM21, IRF7) in the genetic etiology of FTLD-TDP. Together, our study based on the largest cohort of unrelated FTLD-TDP patients assembled to date provides a comprehensive view of the genetic landscape of FTLD-TDP, nominates novel FTLD-TDP risk loci, and strongly implicates the immune pathway in FTLD-TDP pathogenesis.",2019,06,Acta neuropathologica,137,6,879-899,,10.1007/s00401-019-01962-9,30739198,#1542,Pottier 2019,"",""
Microglia - mediated immunity partly contributes to the genetic association between Alzheimer's disease and hippocampal volume.,Lancaster TM.; Hill MJ.; Sims R.; Williams J.,"Genome-wide association studies (GWAS) suggest that Alzheimer's disease (AD) is partly explained by a burden of risk alleles (single nucleotide polymorphisms; SNPs) with relatively small effects. However, the mechanisms by which these loci cumulatively confer susceptibility remain largely unknown. Accumulating evidence suggests an association between increased AD risk allele burden (measured via a polygenic risk profile score; AD-RPS) with reduced hippocampal volume (HV) across a number of independent cohorts. These lines of research suggest that the reduced HV may be a causal mechanism of risk in the development of late-onset Alzheimer's disease (AD). However, as RPS assesses broad, cumulative genetic risk, little is known about the biological processes which may explain this observation. Here, we leverage GWAS data from i) 17,008 late onset AD cases & 37,154 controls and ii) hippocampal volume (N = 12,147; N = 9707) to explore putative pathways that may explain this association. We first demonstrate an association between whole genome AD-RPS and HV (PT < 0.5, Z = -2.07, P = 0.038), confirming previous associations. Second, we restrict our analysis to SNPs within AD genes within a microglia mediated immunity network (NGENES = 56). A microglia AD-RPS was further associated with HV (PT < 0.01; Z = -2.152, P = 0.031). Last, using a competitive, permutation based approach, we show that the common variation within this candidate gene-set is associated with HV, controlling for SNP set-size (P = 0.024). Together, the observations suggest that the relationship between AD and HV is partially explained by genes within an AD-linked microglia mediated immunity network.",2019,07,"Brain, behavior, and immunity",79,,267-273,,10.1016/j.bbi.2019.02.011,30776473,#1543,Lancaster 2019,"",""
African American exome sequencing identifies potential risk variants at Alzheimer disease loci.,N'Songo A.; Carrasquillo MM.; Wang X.; Burgess JD.; Nguyen T.; Asmann YW.; Serie DJ.; Younkin SG.; Allen M.; Pedraza O.; Duara R.; Greig Custo MT.; Graff-Radford NR.; Ertekin-Taner N.,"In African Americans, we sought to systematically identify coding Alzheimer disease (AD) risk variants at the previously reported AD genome-wide association study (GWAS) loci genes. We identified coding variants within genes at the 20 published AD GWAS loci by whole-exome sequencing of 238 African American participants, validated these in 300 additional participants, and tested their association with AD risk in the combined cohort of 538 and with memory endophenotypes in 319 participants. Two ABCA7 missense variants (rs3764647 and rs3752239) demonstrated significant association with AD risk. Variants in MS4A6A, PTK2B, and ZCWPW1 showed significant gene-based association. In addition, coding variants in ZCWPW1 (rs6465770) and NME8 (rs10250905 and rs62001869) showed association with memory endophenotypes. Our findings support a role for ABCA7 missense variants in conferring AD risk in African Americans, highlight allelic heterogeneity at this locus, suggest the presence of AD-risk variants in MS4A6A, PTK2B, and ZCWPW1, nominate additional variants that may modulate cognition, and importantly provide a thorough screen of coding variants at AD GWAS loci that can guide future studies in this population.",2017,Apr,Neurology. Genetics,3,2,e141,,10.1212/NXG.0000000000000141,28480329,#1516,N'Songo 2017,"",""
Familial early-onset dementia with complex neuropathologic phenotype and genomic background.,Alexander J.; Kalev O.; Mehrabian S.; Traykov L.; Raycheva M.; Kanakis D.; Drineas P.; Lutz MI.; Ströbel T.; Penz T.; Schuster M.; Bock C.; Ferrer I.; Paschou P.; Kovacs GG.,"Despite significant progress in our understanding of hereditary neurodegenerative diseases, the list of genes associated with early-onset dementia is not yet complete. In the present study, we describe a familial neurodegenerative disorder characterized clinically as the behavioral and/or dysexecutive variant of Alzheimer's disease with neuroradiologic features of Alzheimer's disease, however, lacking amyloid-β deposits in the brain. Instead, we observed a complex, 4 repeat predominant, tauopathy, together with a TAR DNA-binding protein of 43 kDa proteinopathy. Whole-exome sequencing on 2 affected siblings and 1 unaffected aunt uncovered a large number of candidate genes, including LRRK2 and SYNE2. In addition, DDI1, KRBA1, and TOR1A genes possessed novel stop-gain mutations only in the patients. Pathway, gene ontology, and network interaction analysis indicated the involvement of pathways related to neurodegeneration but revealed novel aspects also. This condition does not fit into any well-characterized category of neurodegenerative disorders. Exome sequencing did not disclose a single disease-specific gene mutation suggesting that a set of genes working together in different pathways may contribute to the etiology of the complex phenotype.",2016,06,Neurobiology of aging,42,,199-204,,10.1016/j.neurobiolaging.2016.03.012,27143436,#1507,Alexander 2016,"",""
Exome sequencing in a consanguineous family clinically diagnosed with early-onset Alzheimer's disease identifies a homozygous CTSF mutation.,Bras J.; Djaldetti R.; Alves AM.; Mead S.; Darwent L.; Lleo A.; Molinuevo JL.; Blesa R.; Singleton A.; Hardy J.; Clarimon J.; Guerreiro R.,"We have previously reported the whole genome genotyping analysis of 2 consanguineous siblings clinically diagnosed with early onset Alzheimer's disease (AD). In this analysis, we identified several large regions of homozygosity shared between both affected siblings, which we suggested could be candidate loci for a recessive genetic lesion underlying the early onset AD in these cases. We have now performed exome sequencing in one of these siblings and identified the potential cause of disease: the CTSF c.1243G>A:p.Gly415Arg mutation in homozygosity. Biallelic mutations in this gene have been shown to cause Type B Kufs disease, an adult-onset neuronal ceroid lipofuscinosis with some cases resembling the impairment seen in AD.",2016,10,Neurobiology of aging,46,,236.e1-6,,10.1016/j.neurobiolaging.2016.06.018,27524508,#1509,Bras 2016,"",""
Cell adhesion molecule pathway genes are regulated by cis-regulatory SNPs and show significantly altered expression in Alzheimer's disease brains.,Bao X.; Liu G.; Jiang Y.; Jiang Q.; Liao M.; Feng R.; Zhang L.; Ma G.; Zhang S.; Chen Z.; Zhao B.; Wang R.; Li K.; Liu G.,"We previously identified the cell adhesion molecule (CAM) pathway as a consistent signal in 2 Alzheimer's disease (AD) genome-wide association studies (GWAS). However, the genetic mechanisms of the CAM pathway in AD are unclear. Here, we conducted pathway analysis using (1) Kyoto Encyclopedia of Genes and Genomes and Gene Ontology pathways; (2) 4 brain expression GWAS datasets; and (3) 2 whole-genome AD case-control expression datasets. Using the 4 brain expression GWAS datasets, we identified that genes regulated by cis-regulatory single-nucleotide polymorphisms (SNPs) were significantly enriched in the CAM pathway (p = 2.05E-06, p = 6.10E-07, p = 2.05E-06, and p = 1.47E-07 for each dataset). Interestingly, CAM is a significantly enriched pathway using down-regulated genes (raw p = 0.0235 and adjusted p = 0.0305) and all differentially expressed genes (raw p = 0.0105 and adjusted p = 0.0156) in dataset 5, and all differentially expressed genes (raw p = 0.0041 and adjusted p = 0.0062) in dataset 6. Collectively, our results show that CAM pathway genes are regulated by cis-regulatory SNPs and show significantly altered expression in AD. We believe that our results advance the understanding of AD mechanisms and will be useful for future genetic studies of AD.",2015,Oct,Neurobiology of aging,36,10,2904.e1-7,,10.1016/j.neurobiolaging.2015.06.006,26149918,#1498,Bao 2015,"",""
FGWAS: Functional genome wide association analysis.,Huang C.; Thompson P.; Wang Y.; Yu Y.; Zhang J.; Kong D.; Colen RR.; Knickmeyer RC.; Zhu H.;  .,"Functional phenotypes (e.g., subcortical surface representation), which commonly arise in imaging genetic studies, have been used to detect putative genes for complexly inherited neuropsychiatric and neurodegenerative disorders. However, existing statistical methods largely ignore the functional features (e.g., functional smoothness and correlation). The aim of this paper is to develop a functional genome-wide association analysis (FGWAS) framework to efficiently carry out whole-genome analyses of functional phenotypes. FGWAS consists of three components: a multivariate varying coefficient model, a global sure independence screening procedure, and a test procedure. Compared with the standard multivariate regression model, the multivariate varying coefficient model explicitly models the functional features of functional phenotypes through the integration of smooth coefficient functions and functional principal component analysis. Statistically, compared with existing methods for genome-wide association studies (GWAS), FGWAS can substantially boost the detection power for discovering important genetic variants influencing brain structure and function. Simulation studies show that FGWAS outperforms existing GWAS methods for searching sparse signals in an extremely large search space, while controlling for the family-wise error rate. We have successfully applied FGWAS to large-scale analysis of data from the Alzheimer's Disease Neuroimaging Initiative for 708 subjects, 30,000 vertices on the left and right hippocampal surfaces, and 501,584 SNPs.",2017,10,NeuroImage,159,,107-121,,10.1016/j.neuroimage.2017.07.030,28735012,#1521,Huang 2017,"",""
Whole-Genome Sequencing of a Healthy Aging Cohort.,Erikson GA.; Bodian DL.; Rueda M.; Molparia B.; Scott ER.; Scott-Van Zeeland AA.; Topol SE.; Wineinger NE.; Niederhuber JE.; Topol EJ.; Torkamani A.,"Studies of long-lived individuals have revealed few genetic mechanisms for protection against age-associated disease. Therefore, we pursued genome sequencing of a related phenotype-healthy aging-to understand the genetics of disease-free aging without medical intervention. In contrast with studies of exceptional longevity, usually focused on centenarians, healthy aging is not associated with known longevity variants, but is associated with reduced genetic susceptibility to Alzheimer and coronary artery disease. Additionally, healthy aging is not associated with a decreased rate of rare pathogenic variants, potentially indicating the presence of disease-resistance factors. In keeping with this possibility, we identify suggestive common and rare variant genetic associations implying that protection against cognitive decline is a genetic component of healthy aging. These findings, based on a relatively small cohort, require independent replication. Overall, our results suggest healthy aging is an overlapping but distinct phenotype from exceptional longevity that may be enriched with disease-protective genetic factors. VIDEO ABSTRACT.",2016,May,Cell,165,4,1002-11,,10.1016/j.cell.2016.03.022,27114037,#1506,Erikson 2016,"",""
A comprehensive screening of copy number variability in dementia with Lewy bodies.,Kun-Rodrigues C.; Orme T.; Carmona S.; Hernandez DG.; Ross OA.; Eicher JD.; Shepherd C.; Parkkinen L.; Darwent L.; Heckman MG.; Scholz SW.; Troncoso JC.; Pletnikova O.; Dawson T.; Rosenthal L.; Ansorge O.; Clarimon J.; Lleo A.; Morenas-Rodriguez E.; Clark L.; Honig LS.; Marder K.; Lemstra A.; Rogaeva E.; St George-Hyslop P.; Londos E.; Zetterberg H.; Barber I.; Braae A.; Brown K.; Morgan K.; Troakes C.; Al-Sarraj S.; Lashley T.; Holton J.; Compta Y.; Van Deerlin V.; Serrano GE.; Beach TG.; Lesage S.; Galasko D.; Masliah E.; Santana I.; Pastor P.; Diez-Fairen M.; Aguilar M.; Tienari PJ.; Myllykangas L.; Oinas M.; Revesz T.; Lees A.; Boeve BF.; Petersen RC.; Ferman TJ.; Escott-Price V.; Graff-Radford N.; Cairns NJ.; Morris JC.; Pickering-Brown S.; Mann D.; Halliday GM.; Hardy J.; Trojanowski JQ.; Dickson DW.; Singleton A.; Stone DJ.; Guerreiro R.; Bras J.,"The role of genetic variability in dementia with Lewy bodies (DLB) is now indisputable; however, data regarding copy number variation (CNV) in this disease has been lacking. Here, we used whole-genome genotyping of 1454 DLB cases and 1525 controls to assess copy number variability. We used 2 algorithms to confidently detect CNVs, performed a case-control association analysis, screened for candidate CNVs previously associated with DLB-related diseases, and performed a candidate gene approach to fully explore the data. We identified 5 CNV regions with a significant genome-wide association to DLB; 2 of these were only present in cases and absent from publicly available databases: one of the regions overlapped LAPTM4B, a known lysosomal protein, whereas the other overlapped the NME1 locus and SPAG9. We also identified DLB cases presenting rare CNVs in genes previously associated with DLB or related neurodegenerative diseases, such as SNCA, APP, and MAPT. To our knowledge, this is the first study reporting genome-wide CNVs in a large DLB cohort. These results provide preliminary evidence for the contribution of CNVs in DLB risk.",2019,03,Neurobiology of aging,75,,223.e1-223.e10,,10.1016/j.neurobiolaging.2018.10.019,30448004,#1540,Kun-Rodrigues 2019,"",""
Targeted Sequencing of Alzheimer Disease Genes in African Americans Implicates Novel Risk Variants.,Logue MW.; Lancour D.; Farrell J.; Simkina I.; Fallin MD.; Lunetta KL.; Farrer LA.,"The genetic architecture of late-onset Alzheimer disease (AD) in African Americans (AAs) differs from that in persons of European ancestry. In addition to APOE, genome-wide association studies (GWASs) of AD in AA samples have implicated ABCA7, COBL, and SLC10A2 as AA-AD risk genes. Previously, we identified by whole exome sequencing a small number of AA AD cases and subsequent genotyping in a large AA sample of AD cases and controls association of AD risk with a pair of rare missense variants in AKAP9. In this study, we performed targeted deep sequencing (including both introns and exons) of approximately 100 genes previously linked to AD or AD-related traits in an AA cohort of 489 AD cases and 472 controls to find novel AD risk variants. We observed association with an 11 base-pair frame-shift loss-of-function (LOF) variant in ABCA7 (rs567222111) for which the evidence was bolstered when combined with data from a replication AA cohort of 484 cases and 484 controls (OR = 2.42, p = 0.022). We also found association of AD with a rare 9 bp deletion (rs371245265) located very close to the AKAP9 transcription start site (rs371245265, OR = 10.75, p = 0.0053). The most significant findings were obtained with a rare protective variant in F5 (OR = 0.053, p = 6.40 × 10-5), a gene that was previously associated with a brain MRI measure of hippocampal atrophy, and two common variants in KIAA0196 (OR = 1.51, p<8.6 × 10-5). Gene-based tests of aggregated rare variants yielded several nominally significant associations with KANSL1, CNN2, and TRIM35. Although no associations passed multiple test correction, our study adds to a body of literature demonstrating the utility of examining sequence data from multiple ethnic populations for discovery of new and impactful risk variants. Larger sample sizes will be needed to generate well-powered epidemiological investigations of rare variation, and functional studies are essential for establishing the pathogenicity of variants identified by sequencing.",2018,,Frontiers in neuroscience,12,,592,,10.3389/fnins.2018.00592,30210277,#1539,Logue 2018,"",""
Late-onset Alzheimer disease risk variants mark brain regulatory loci.,Allen M.; Kachadoorian M.; Carrasquillo MM.; Karhade A.; Manly L.; Burgess JD.; Wang C.; Serie D.; Wang X.; Siuda J.; Zou F.; Chai HS.; Younkin C.; Crook J.; Medway C.; Nguyen T.; Ma L.; Malphrus K.; Lincoln S.; Petersen RC.; Graff-Radford NR.; Asmann YW.; Dickson DW.; Younkin SG.; Ertekin-Taner N.,"To investigate the top late-onset Alzheimer disease (LOAD) risk loci detected or confirmed by the International Genomics of Alzheimer's Project for association with brain gene expression levels to identify variants that influence Alzheimer disease (AD) risk through gene expression regulation. Expression levels from the cerebellum (CER) and temporal cortex (TCX) were obtained using Illumina whole-genome cDNA-mediated annealing, selection, extension, and ligation assay (WG-DASL) for ∼400 autopsied patients (∼200 with AD and ∼200 with non-AD pathologies). We tested 12 significant LOAD genome-wide association study (GWAS) index single nucleotide polymorphisms (SNPs) for cis association with levels of 34 genes within ±100 kb. We also evaluated brain levels of 14 LOAD GWAS candidate genes for association with 1,899 cis-SNPs. Significant associations were validated in a subset of TCX samples using next-generation RNA sequencing (RNAseq). We identified strong associations of brain CR1, HLA-DRB1, and PILRB levels with LOAD GWAS index SNPs. We also detected other strong cis-SNPs for LOAD candidate genes MEF2C, ZCWPW1, and SLC24A4. MEF2C and SLC24A4, but not ZCWPW1 cis-SNPs, also associate with LOAD risk, independent of the index SNPs. The TCX expression associations could be validated with RNAseq for CR1, HLA-DRB1, ZCWPW1, and SLC24A4. Our results suggest that some LOAD GWAS variants mark brain regulatory loci, nominate genes under regulation by LOAD risk variants, and annotate these variants for their brain regulatory effects.",2015,Aug,Neurology. Genetics,1,2,e15,,10.1212/NXG.0000000000000012,27066552,#1505,Allen 2015,"",""
Evidence of recessive Alzheimer disease loci in a Caribbean Hispanic data set: genome-wide survey of runs of homozygosity.,Ghani M.; Sato C.; Lee JH.; Reitz C.; Moreno D.; Mayeux R.; St George-Hyslop P.; Rogaeva E.,"IMPORTANCE The search for novel Alzheimer disease (AD) genes or pathologic mutations within known AD loci is ongoing. The development of array technologies has helped to identify rare recessive mutations among long runs of homozygosity (ROHs), in which both parental alleles are identical. Caribbean Hispanics are known to have an elevated risk for AD and tend to have large families with evidence of inbreeding. OBJECTIVE To test the hypothesis that the late-onset AD in a Caribbean Hispanic population might be explained in part by the homozygosity of unknown loci that could harbor recessive AD risk haplotypes or pathologic mutations. DESIGN We used genome-wide array data to identify ROHs (&gt;1 megabase) and conducted global burden and locus-specific ROH analyses. SETTING A whole-genome case-control ROH study. PARTICIPANTS A Caribbean Hispanic data set of 547 unrelated cases (48.8% with familial AD) and 542 controls collected from a population known to have a 3-fold higher risk of AD vs non-Hispanics in the same community. Based on a Structure program analysis, our data set consisted of African Hispanic (207 cases and 192 controls) and European Hispanic (329 cases and 326 controls) participants. EXPOSURE Alzheimer disease risk genes. MAIN OUTCOMES AND MEASURES We calculated the total and mean lengths of the ROHs per sample. Global burden measurements among autosomal chromosomes were investigated in cases vs controls. Pools of overlapping ROH segments (consensus regions) were identified, and the case to control ratio was calculated for each consensus region. We formulated the tested hypothesis before data collection. RESULTS In total, we identified 17 137 autosomal regions with ROHs. The mean length of the ROH per person was significantly greater in cases vs controls (P = .0039), and this association was stronger with familial AD (P = .0005). Among the European Hispanics, a consensus region at the EXOC4 locus was significantly associated with AD even after correction for multiple testing (empirical P value 1 [EMP1], .0001; EMP2, .002; 21 AD cases vs 2 controls). Among the African Hispanic subset, the most significant but nominal association was observed for CTNNA3, a well-known AD gene candidate (EMP1, .002; 10 AD cases vs 0 controls). CONCLUSIONS AND RELEVANCE Our results show that ROHs could significantly contribute to the etiology of AD. Future studies would require the analysis of larger, relatively inbred data sets that might reveal novel recessive AD genes. The next step is to conduct sequencing of top significant loci in a subset of samples with overlapping ROHs.",2013,Oct,JAMA neurology,70,10,1261-7,,10.1001/jamaneurol.2013.3545,23978990,#1486,Ghani 2013,"",""
A novel p.Leu(381)Phe mutation in presenilin 1 is associated with very early onset and unusually fast progressing dementia as well as lysosomal inclusions typically seen in Kufs disease.,Dolzhanskaya N.; Gonzalez MA.; Sperziani F.; Stefl S.; Messing J.; Wen GY.; Alexov E.; Zuchner S.; Velinov M.,"Whole exome sequencing in a family with suspected dominant Kufs disease identified a novel Presenilin 1 mutation p.Leu(381)Phe in three brothers who, along with their father, developed progressive dementia and motor deficits in their early 30 s. All affected relatives had unusually rapid disease progression (on average 3.6 years from disease onset to death). In silico analysis of mutation p.Leu(381)Phe predicted more detrimental effects when compared to the common Presenilin 1 mutation p.Glu(280)Ala. Electron microscopy study of peripheral fibroblast cells of the proband showed lysosomal inclusions typical for Kufs disease. However, brain autopsy demonstrated typical changes of Alzheimer's disease.",2014,,Journal of Alzheimer's disease : JAD,39,1,23-7,,10.3233/JAD-131340,24121961,#1487,Dolzhanskaya 2014,"",""
On the association analysis of genome-sequencing data: A spatial clustering approach for partitioning the entire genome into nonoverlapping windows.,Loehlein Fier H.; Prokopenko D.; Hecker J.; Cho MH.; Silverman EK.; Weiss ST.; Tanzi RE.; Lange C.,"For the association analysis of whole-genome sequencing (WGS) studies, we propose an efficient and fast spatial-clustering algorithm. Compared to existing analysis approaches for WGS data, that define the tested regions either by sliding or consecutive windows of fixed sizes along variants, a meaningful grouping of nearby variants into consecutive regions has the advantage that, compared to sliding window approaches, the number of tested regions is likely to be smaller. In comparison to consecutive, fixed-window approaches, our approach is likely to group nearby variants together. Given existing biological evidence that disease-associated mutations tend to physically cluster in specific regions along the chromosome, the identification of meaningful groups of nearby located variants could thus lead to a potential power gain for association analysis. Our algorithm defines consecutive genomic regions based on the physical positions of the variants, assuming an inhomogeneous Poisson process and groups together nearby variants. As parameters are estimated locally, the algorithm takes the differing variant density along the chromosome into account and provides locally optimal partitioning of variants into consecutive regions. An R-implementation of the algorithm is provided. We discuss the theoretical advances of our algorithm compared to existing, window-based approaches and show the performance and advantage of our introduced algorithm in a simulation study and by an application to Alzheimer's disease WGS data. Our analysis identifies a region in the ITGB3 gene that potentially harbors disease susceptibility loci for Alzheimer's disease. The region-based association signal of ITGB3 replicates in an independent data set and achieves formally genome-wide significance. Software Implementation: An implementation of the algorithm in R is available at: https://github.com/heidefier/cluster_wgs_data.",2017,05,Genetic epidemiology,41,4,332-340,,10.1002/gepi.22040,28318110,#1515,LoehleinFier 2017,"",""
Genetic Modifiers of Age at Onset in Carriers of the G206A Mutation in PSEN1 With Familial Alzheimer Disease Among Caribbean Hispanics.,Lee JH.; Cheng R.; Vardarajan B.; Lantigua R.; Reyes-Dumeyer D.; Ortmann W.; Graham RR.; Bhangale T.; Behrens TW.; Medrano M.; Jiménez-Velázquez IZ.; Mayeux R.,"The present study identified potential genetic modifiers that may delay or accelerate age at onset of familial Alzheimer disease (AD) by examining age at onset in PSEN1 mutation carrier families, and further investigation of these modifiers may provide insight into the pathobiology of AD and potential therapeutic measures. To identify genetic variants that modify age at onset of AD. Using a subset of Caribbean Hispanic families that carry the PSEN1 p.G206A mutation, we performed a 2-stage genome study. The mutation carrier families from an ongoing genetic study served as a discovery set, and the cohort of those with LOAD served as a confirmation set. To identify candidate loci, we performed linkage analysis using 5 p.G206A carrier families (n = 56), and we also performed whole-exome association analysis using 31 p.G206A carriers from 26 families. To confirm the genetic modifiers identified from the p.G206A carrier families, we analyzed the GWAS data for 2888 elderly individuals with LOAD. All study participants were Caribbean Hispanics. Age at onset of AD. Linkage analysis of AD identified the strongest linkage support at 4q35 (LOD [logarithm of odds] score, 3.69), and the GWAS of age at onset identified variants on 1p13.1, 2q13, 4q25, and 17p11. In the confirmation stage, genewise analysis identified SNX25, PDLIM3, and 3 SH3 domain genes (SORBS2, SH3RF3, and NPHP1) to be significantly associated with LOAD. Subsequent allelic association analysis confirmed SNX25, PDLIM3, and SORBS2 as genetic modifiers of age at onset of EOAD and LOAD and provided modest support for SH3RF3 and NPHP1. Our 2-stage analysis revealed that SNX25, PDLIM3, and SORBS2 may serve as genetic modifiers of age at onset in both EOAD and LOAD.",2015,Sep,JAMA neurology,72,9,1043-51,,10.1001/jamaneurol.2015.1424,26214276,#1499,Lee 2015,"",""
Whole-genome sequencing suggests a chemokine gene cluster that modifies age at onset in familial Alzheimer's disease.,Lalli MA.; Bettcher BM.; Arcila ML.; Garcia G.; Guzman C.; Madrigal L.; Ramirez L.; Acosta-Uribe J.; Baena A.; Wojta KJ.; Coppola G.; Fitch R.; de Both MD.; Huentelman MJ.; Reiman EM.; Brunkow ME.; Glusman G.; Roach JC.; Kao AW.; Lopera F.; Kosik KS.,"We have sequenced the complete genomes of 72 individuals affected with early-onset familial Alzheimer's disease caused by an autosomal dominant, highly penetrant mutation in the presenilin-1 (PSEN1) gene, and performed genome-wide association testing to identify variants that modify age at onset (AAO) of Alzheimer's disease. Our analysis identified a haplotype of single-nucleotide polymorphisms (SNPs) on chromosome 17 within a chemokine gene cluster associated with delayed onset of mild-cognitive impairment and dementia. Individuals carrying this haplotype had a mean AAO of mild-cognitive impairment at 51.0 ± 5.2 years compared with 41.1 ± 7.4 years for those without these SNPs. This haplotype thus appears to modify Alzheimer's AAO, conferring a large (~10 years) protective effect. The associated locus harbors several chemokines including eotaxin-1 encoded by CCL11, and the haplotype includes a missense polymorphism in this gene. Validating this association, we found plasma eotaxin-1 levels were correlated with disease AAO in an independent cohort from the University of California San Francisco Memory and Aging Center. In this second cohort, the associated haplotype disrupted the typical age-associated increase of eotaxin-1 levels, suggesting a complex regulatory role for this haplotype in the general population. Altogether, these results suggest eotaxin-1 as a novel modifier of Alzheimer's disease AAO and open potential avenues for therapy.",2015,Nov,Molecular psychiatry,20,11,1294-300,,10.1038/mp.2015.131,26324103,#1501,Lalli 2015,"",""
New Genome-Wide Methods for Elucidation of Candidate Copy Number Variations (CNVs) Contributing to Alzheimer's Disease Heritability.,Szigeti K.,"The complexity of human genetic variation has been extended by the observation of abundant and widespread variation in the copy number of submicroscopic DNA segments. The discovery of this novel level of genome organization opened new possibilities concerning the genetic variation that may confer susceptibility to or cause disease. Copy number variants (CNVs) influence gene expression, phenotypic variation and adaptation by altering gene dosage and genome organization. Concordant with the common disease common variant hypothesis these structural variants are now subject to interrogation for disease association. Alzheimer's disease (AD) is a progressive neurodegenerative disease with an estimated heritability of 60-80 %. Large scale genome-wide association studies (GWAS) using high frequency single nucleotide polymorphism (SNP) variants identified ten loci which do not account for the measured heritability. To find the missing heritability systematic assessment of all mutational mechanisms needs to be performed. Between the powerful SNP-GWAS studies and the planned Whole Genome Sequencing projects the contribution of copy number variation (CNV) to the genetic architecture of AD needs to be studied fully.",2016,,"Methods in molecular biology (Clifton, N.J.)",1303,,315-26,,10.1007/978-1-4939-2627-5_19,26235076,#1500,Szigeti 2016,"",""
